Crash around 11:10pm
10-25 23:10:11.559

Seems like a graphics weirdness, so we've worked in a check that we won't redraw on the UI thread *if* the drawThread is alive.
Also, seems like things get wonky when we're operating disconnected from the phone for a while, as we were when
all those exceptions were being thrown.


==================

10-25 18:38:31.291    1749-1810/? D/ConnectivityService﹕ Sampling interval elapsed, updating statistics ..
10-25 18:38:31.311    1749-5971/? I/ActivityManager﹕ Delay finish: com.google.android.gms/.update.SystemUpdateService$Receiver
10-25 18:38:31.331    1749-1810/? D/ConnectivityService﹕ Done.
10-25 18:38:31.331    1749-1810/? D/ConnectivityService﹕ Setting timer for 720seconds
10-25 18:38:31.351    1749-2245/? I/ActivityManager﹕ Resuming delayed broadcast
10-25 18:38:31.371    1749-1760/? I/ActivityManager﹕ Delay finish: com.google.android.gms/.checkin.EventLogService$Receiver
10-25 18:38:31.501    1749-1759/? I/ActivityManager﹕ Resuming delayed broadcast
10-25 18:50:31.486    1749-1810/? D/ConnectivityService﹕ Sampling interval elapsed, updating statistics ..
10-25 18:50:31.497    1749-1759/? I/ActivityManager﹕ Delay finish: com.google.android.gms/.update.SystemUpdateService$Receiver
10-25 18:50:31.507    1749-1810/? D/ConnectivityService﹕ Done.
10-25 18:50:31.507    1749-1810/? D/ConnectivityService﹕ Setting timer for 720seconds
10-25 18:50:31.537    1749-2385/? I/ActivityManager﹕ Resuming delayed broadcast
10-25 19:02:55.653    1749-1770/? D/SensorHALGestureSensor﹕ Gesture event received! time = 1414281775656186229
10-25 19:02:55.653    1749-2245/? I/PowerManagerService﹕ Waking up from sleep...
10-25 19:02:55.653    1749-1777/? W/KeyguardServiceDelegate﹕ onScreenTurnedOn(): no keyguard service!
10-25 19:02:55.833    1749-1749/? W/InputMethodManagerService﹕ Ignoring setImeWindowStatus of uid 1000 token: null
10-25 19:02:55.853    1749-1759/? I/ActivityManager﹕ Delay finish: com.google.android.gms/.update.SystemUpdateService$Receiver
10-25 19:02:55.963    1749-1779/? I/DisplayManagerService﹕ Display device changed: DisplayDeviceInfo{"Built-in Screen": 320 x 290, 45.000004 fps, density 213, 203.2 x 204.61111 dpi, touch INTERNAL, rotation 0, type BUILT_IN, state ON, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
10-25 19:02:55.963    1749-1749/? V/ActivityManager﹕ Display changed displayId=0
10-25 19:02:56.124    1749-5971/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-25 19:02:56.124    1749-5971/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-25 19:02:56.144    1749-2245/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-25 19:02:56.234    1749-1971/? I/ActivityManager﹕ Resuming delayed broadcast
10-25 19:02:56.244    1749-1810/? D/ConnectivityService﹕ Sampling interval elapsed, updating statistics ..
10-25 19:02:56.264    1749-1810/? D/ConnectivityService﹕ Done.
10-25 19:02:56.274    1749-1810/? D/ConnectivityService﹕ Setting timer for 720seconds
10-25 19:03:00.838    1749-2580/? I/PowerManagerService﹕ Going to sleep due to screen timeout...
10-25 19:03:00.838    1749-1783/? I/PowerManagerService﹕ Dozing...
10-25 19:03:00.838    1749-1776/? I/DreamController﹕ Starting dream: name=ComponentInfo{com.google.android.wearable.app/com.google.android.clockwork.home.AmbientMode}, isTest=false, canDoze=true, userId=0
10-25 19:03:00.908    1749-2245/? I/ActivityManager﹕ START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity (has extras)} from pid 1922 on display 0
10-25 19:03:00.908    1749-1776/? I/DreamController﹕ Stopping dream: name=ComponentInfo{com.google.android.wearable.app/com.google.android.clockwork.home.AmbientMode}, isTest=false, canDoze=true, userId=0
10-25 19:03:00.918    1749-1783/? I/PowerManagerService﹕ Sleeping...
10-25 19:03:01.769    1749-1779/? I/DisplayManagerService﹕ Display device changed: DisplayDeviceInfo{"Built-in Screen": 320 x 290, 45.000004 fps, density 213, 203.2 x 204.61111 dpi, touch INTERNAL, rotation 0, type BUILT_IN, state OFF, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
10-25 19:03:01.779    1749-1749/? V/ActivityManager﹕ Display changed displayId=0
10-25 19:03:01.829    1749-1749/? W/InputMethodManagerService﹕ Ignoring setImeWindowStatus of uid 1000 token: null
10-25 19:03:01.879    1749-7647/? I/UsageStats﹕ Deleting usage file : usage-20141021
10-25 19:03:03.307    1749-1810/? D/ConnectivityService﹕ ConnectivityChange for PROXY: CONNECTED/CONNECTED
10-25 19:03:03.397    1749-1810/? E/ConnectivityService﹕ Unexpected mtu value: android.net.ProxyDataTracker@adfccea0
10-25 19:03:03.488    1749-1810/? D/Nat464Xlat﹕ requiresClat: netType=16, hasIPv4Address=false
10-25 19:03:03.508    1749-1810/? D/ConnectivityService﹕ ConnectivityChange for PROXY: CONNECTED/CONNECTED
10-25 19:03:03.558    1749-1810/? E/ConnectivityService﹕ Unexpected mtu value: android.net.ProxyDataTracker@adfccea0
10-25 19:03:03.588    1749-1810/? D/ConnectivityService﹕ handleConnectivityChange: address are the same reset per doReset linkProperty[16]: resetMask=0
10-25 19:03:03.598    1749-1810/? D/Nat464Xlat﹕ requiresClat: netType=16, hasIPv4Address=false
10-25 19:03:06.851    1749-1772/? E/ActivityThread﹕ Failed to find provider info for telephony
10-25 19:03:06.861    1749-1772/? E/ActivityThread﹕ Failed to find provider info for telephony
10-25 19:03:07.882    1749-1816/? I/ActivityManager﹕ START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity (has extras)} from pid 1922 on display 0
10-25 19:03:37.961    1749-4146/? I/ActivityManager﹕ START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity (has extras)} from pid 1922 on display 0
10-25 19:04:12.168    1749-1770/? D/SensorHALGestureSensor﹕ Gesture event received! time = 1414281852170926211
10-25 19:04:12.168    1749-1971/? I/PowerManagerService﹕ Waking up from sleep...
10-25 19:04:12.168    1749-1777/? W/KeyguardServiceDelegate﹕ onScreenTurnedOn(): no keyguard service!
10-25 19:04:12.368    1749-1749/? W/InputMethodManagerService﹕ Ignoring setImeWindowStatus of uid 1000 token: null
10-25 19:04:12.488    1749-5971/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-25 19:04:12.488    1749-5971/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-25 19:04:12.498    1749-2385/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-25 19:04:12.508    1749-1779/? I/DisplayManagerService﹕ Display device changed: DisplayDeviceInfo{"Built-in Screen": 320 x 290, 45.000004 fps, density 213, 203.2 x 204.61111 dpi, touch INTERNAL, rotation 0, type BUILT_IN, state ON, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
10-25 19:04:12.518    1749-1749/? V/ActivityManager﹕ Display changed displayId=0
10-25 19:04:17.383    1749-1759/? I/PowerManagerService﹕ Going to sleep due to screen timeout...
10-25 19:04:17.383    1749-1783/? I/PowerManagerService﹕ Dozing...
10-25 19:04:17.383    1749-1776/? I/DreamController﹕ Starting dream: name=ComponentInfo{com.google.android.wearable.app/com.google.android.clockwork.home.AmbientMode}, isTest=false, canDoze=true, userId=0
10-25 19:04:17.553    1749-1749/? W/InputMethodManagerService﹕ Ignoring setImeWindowStatus of uid 1000 token: null
10-25 19:04:17.753    1749-2245/? I/ActivityManager﹕ START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity (has extras)} from pid 1922 on display 0
10-25 19:04:17.753    1749-1749/? V/ActivityManager﹕ Display changed displayId=0
10-25 19:04:17.773    1749-1776/? I/DreamController﹕ Stopping dream: name=ComponentInfo{com.google.android.wearable.app/com.google.android.clockwork.home.AmbientMode}, isTest=false, canDoze=true, userId=0
10-25 19:04:17.783    1749-1783/? I/PowerManagerService﹕ Sleeping...
10-25 19:04:18.094    1749-1759/? I/ActivityManager﹕ START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity (has extras)} from pid 1922 on display 0
10-25 19:04:18.534    1749-4146/? I/ActivityManager﹕ Activity reported stop, but no longer stopping: ActivityRecord{add0ab30 u0 com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity t1}
10-25 19:04:18.734    1749-1779/? I/DisplayManagerService﹕ Display device changed: DisplayDeviceInfo{"Built-in Screen": 320 x 290, 45.000004 fps, density 213, 203.2 x 204.61111 dpi, touch INTERNAL, rotation 0, type BUILT_IN, state OFF, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
10-25 19:04:18.734    1749-1749/? V/ActivityManager﹕ Display changed displayId=0
10-25 19:05:31.497    1749-5971/? I/ActivityManager﹕ Delay finish: com.google.android.gms/.checkin.CheckinService$Receiver
10-25 19:05:43.448    1749-4146/? I/ActivityManager﹕ START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity (has extras)} from pid 1922 on display 0
10-25 19:05:43.458    1749-1749/? V/ActivityManager﹕ Display changed displayId=0
10-25 19:05:46.501    1749-1773/? I/ActivityManager﹕ Waited long enough for: ServiceRecord{adea0dd0 u0 com.google.android.gms/.checkin.CheckinService}
10-25 19:05:46.501    1749-1773/? I/ActivityManager﹕ Resuming delayed broadcast
10-25 19:05:46.541    1749-2580/? I/ActivityManager﹕ Start proc android.process.acore for broadcast com.android.providers.contacts/.PackageIntentReceiver: pid=7793 uid=10007 gids={50007}
10-25 19:06:12.126    1749-1760/? I/ActivityManager﹕ Delay finish: com.google.android.gms/.gcm.ServiceAutoStarter
10-25 19:06:12.126    1749-2385/? I/ActivityManager﹕ Resuming delayed broadcast
10-25 19:06:31.384    1749-1770/? D/SensorHALGestureSensor﹕ Gesture event received! time = 1414281991386777011
10-25 19:06:31.384    1749-1760/? I/PowerManagerService﹕ Waking up from sleep...
10-25 19:06:31.384    1749-1777/? W/KeyguardServiceDelegate﹕ onScreenTurnedOn(): no keyguard service!
10-25 19:06:31.594    1749-1749/? W/InputMethodManagerService﹕ Ignoring setImeWindowStatus of uid 1000 token: null
10-25 19:06:31.714    1749-1779/? I/DisplayManagerService﹕ Display device changed: DisplayDeviceInfo{"Built-in Screen": 320 x 290, 45.000004 fps, density 213, 203.2 x 204.61111 dpi, touch INTERNAL, rotation 0, type BUILT_IN, state ON, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
10-25 19:06:31.714    1749-1749/? V/ActivityManager﹕ Display changed displayId=0
10-25 19:06:31.754    1749-2580/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-25 19:06:31.754    1749-2580/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-25 19:06:31.764    1749-2385/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-25 19:06:36.579    1749-2245/? I/PowerManagerService﹕ Going to sleep due to screen timeout...
10-25 19:06:36.579    1749-1783/? I/PowerManagerService﹕ Dozing...
10-25 19:06:36.579    1749-1776/? I/DreamController﹕ Starting dream: name=ComponentInfo{com.google.android.wearable.app/com.google.android.clockwork.home.AmbientMode}, isTest=false, canDoze=true, userId=0
10-25 19:06:36.709    1749-2580/? I/ActivityManager﹕ START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity (has extras)} from pid 1922 on display 0
