At 13:31, CalWatch crashed, but it looks like lots of other stuff was being killed off / failing at the same time. Hmm.

    --------- beginning of /dev/log/system
12-25 11:06:16.038     816-1038/? I/ActivityManager﹕ Start proc ru.org.amip.ClockSync for broadcast ru.org.amip.ClockSync/.TimeChangeReceiver: pid=19836 uid=10119 gids={50119, 3003}
12-25 11:06:16.048     816-1144/? I/ActivityManager﹕ Process com.google.android.deskclock (pid 19676) has died.
12-25 11:06:16.088      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 19676
12-25 11:06:16.158     816-1145/? I/ActivityManager﹕ Process com.qualcomm.timeservice (pid 19696) has died.
12-25 11:06:16.208     816-1569/? I/ActivityManager﹕ Start proc com.google.android.deskclock for broadcast com.google.android.deskclock/com.android.alarmclock.DigitalAppWidgetProvider: pid=19861 uid=10035 gids={50035, 1028}
12-25 11:06:16.238      816-842/? I/ActivityManager﹕ Start proc com.google.android.tts for service com.google.android.tts/.service.GoogleTTSService: pid=19873 uid=10049 gids={50049, 3003, 1028, 1015}
12-25 11:06:16.278     816-1569/? I/ActivityManager﹕ Process com.google.android.keep (pid 19711) has died.
12-25 11:06:16.378     816-7675/? I/ActivityManager﹕ Start proc com.teslamotors.tesla for broadcast com.teslamotors.tesla/.CalendarReceiver: pid=19899 uid=10252 gids={50252, 3003, 1028, 1015, 3002}
12-25 11:06:17.288     816-1024/? I/ActivityManager﹕ Process com.verisign.mvip.main (pid 19770) has died.
12-25 11:06:19.108     816-1164/? I/ActivityManager﹕ Delay finish: com.android.providers.calendar/.CalendarProviderBroadcastReceiver
12-25 11:06:19.358     816-1541/? I/ActivityManager﹕ Resuming delayed broadcast
12-25 11:06:19.558     816-7675/? I/ActivityManager﹕ Process com.amazon.mShop.android (pid 19257) has died.
12-25 11:06:30.167      816-826/? I/ActivityManager﹕ Process com.google.android.tts (pid 19873) has died.
12-25 11:06:30.167      816-826/? W/ActivityManager﹕ Scheduling restart of crashed service com.google.android.tts/.service.GoogleTTSService in 4000ms
12-25 11:06:34.207      816-842/? I/ActivityManager﹕ Start proc com.google.android.tts for service com.google.android.tts/.service.GoogleTTSService: pid=20012 uid=10049 gids={50049, 3003, 1028, 1015}
12-25 11:06:35.197     816-2231/? I/ActivityManager﹕ Process ch.bitspin.timely (pid 19792) has died.
12-25 11:07:00.897      816-842/? I/ActivityManager﹕ Start proc com.google.android.googlequicksearchbox:search for broadcast com.google.android.googlequicksearchbox/com.google.android.velvet.location.VehicleParkReceiver: pid=20099 uid=10023 gids={50023, 3003, 3001, 1028, 3002, 1015}
12-25 11:07:01.157     816-1163/? I/ActivityManager﹕ Start proc com.google.android.partnersetup for content provider com.google.android.partnersetup/.RlzAppProvider: pid=20127 uid=10011 gids={50011, 3003}
12-25 11:07:01.407      816-826/? W/InputMethodInfo﹕ Duplicated subtype definition found: , voice
12-25 11:07:02.407     816-1145/? I/ActivityManager﹕ Process com.google.android.deskclock (pid 19861) has died.
12-25 11:07:02.437     816-1038/? I/ActivityManager﹕ Process ru.org.amip.ClockSync (pid 19836) has died.
12-25 11:07:30.977      816-865/? I/ActivityManager﹕ START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.google.android.googlequicksearchbox/com.google.android.launcher.GEL} from pid 816
12-25 11:07:31.427     816-2231/? I/ActivityManager﹕ Process com.expenseit (pid 19817) has died.
12-25 11:07:31.467      816-827/? I/ActivityManager﹕ Process com.teslamotors.tesla (pid 19899) has died.
12-25 11:07:33.337      816-879/? D/MobileDataStateTracker﹕ default: setPolicyDataEnable(enabled=true)
12-25 11:07:33.757     816-1038/? I/ActivityManager﹕ Process com.android.providers.calendar (pid 19750) has died.
12-25 11:07:43.807     816-1163/? I/ActivityManager﹕ START u0 {act=android.intent.action.MAIN flg=0x14010000 cmp=com.google.android.googlequicksearchbox/com.google.android.velvet.ui.VelvetActivity (has extras)} from pid 1158
12-25 11:07:44.887     816-2231/? I/ActivityManager﹕ Start proc com.android.providers.calendar for content provider com.android.providers.calendar/.CalendarProvider2: pid=20674 uid=10001 gids={50001, 3003, 1028, 1015}
12-25 11:07:46.177     816-7675/? I/ActivityManager﹕ Start proc com.teslamotors.tesla for broadcast com.teslamotors.tesla/.CalendarReceiver: pid=20698 uid=10252 gids={50252, 3003, 1028, 1015, 3002}
12-25 11:07:48.317     816-1144/? I/ActivityManager﹕ START u0 {act=android.intent.action.VIEW cat=[android.intent.category.BROWSABLE] dat=http://www.countycomm.com/zulutwobuckle.html flg=0x10000000 cmp=com.android.chrome/com.google.android.apps.chrome.Main (has extras)} from pid 20099
12-25 11:07:48.377     816-1541/? I/ActivityManager﹕ Start proc com.android.chrome for activity com.android.chrome/com.google.android.apps.chrome.Main: pid=20752 uid=10032 gids={50032, 3003, 1028, 1015}
12-25 11:07:48.737     816-1186/? I/ActivityManager﹕ START u0 {act=android.intent.action.VIEW cat=[android.intent.category.BROWSABLE] dat=http://www.countycomm.com/zulutwobuckle.html flg=0x14000000 cmp=com.android.chrome/com.google.android.apps.chrome.ChromeTabbedActivity (has extras)} from pid 20752
