The watch rebooted this morning on my walk in, so somewhere around 8am. Looks like the reboot is actually the start
of the log, so we have no idea what happened beforehand. That's unfortunate. This log, at least, provides
a view of what happens right after a reboot! Sigh.


==================================

12-31 18:00:02.772    1408-1408/? I/lowmemorykiller﹕ Using in-kernel low memory killer interface
12-31 18:00:02.812    1411-1411/? I/ADSPD﹕ DSP daemon started (version c294b45)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim: Inside main
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:ST built into the kernel ?
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:BT driver module un-available...
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:BT driver built into the kernel ?
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:FM driver module un-available...
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:FM driver built into the kernel ?
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:GPS driver module un-available...
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:GPS driver built into the kernel ?
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:FM V4L2 driver module un-available...
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:FM V4L2 driver built into the kernel ?
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill0/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill1/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill2/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill3/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill4/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill5/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill6/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill7/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill8/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill9/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill10/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill11/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill12/type) failed: No such file or directory (2)
12-31 18:00:02.822    1413-1413/? E/uim-sysfs﹕ uim:open(/sys/class/rfkill/rfkill13/type) failed: No such file or directory (2)
